Customer_Id,Customer_Name,Customer_Address,Customer_Dob,Customer_Nationality,Customer_Country,Customer_Industry,Onboarding_Date
CUST00001,GHARIB FADIL MAHMUD,190 Oak Ave,1959-10-13,RUSSIA,SOMALIA,Financial Services,2022-04-05
CUST00002,MANTUROV DENIS VALENTINOVICH,162 Oak Ave,1991-02-13,SOUTH AFRICA,CUBA,Retail,2022-01-04
CUST00003,TRINITI JSC,515 Main St,1955-02-19,INDIA,NIGERIA,Retail,2022-02-27
CUST00004,SAVELYEV OLEG GENRIKHOVICH,191 Oak Ave,1971-12-13,INDIA,GERMANY,Manufacturing,2021-05-28
CUST00005,TAYMAZOV ARTUR BORISOVICH,611 Oak Ave,1977-08-01,SOMALIA,IRAN,Manufacturing,2022-08-07
CUST00006,NON-BANK CREDIT ORGANIZATION JOINT-STOCK COMPANY PETERSBURG SETTLEMENT CENTER (JSC PSC),650 Pine Ln,1966-07-13,BRAZIL,USA,Retail,2022-05-30
CUST00007,YANUCOVICH OLEXANDR VIKTOROVICH,800 Oak Ave,1987-05-06,USA,GERMANY,Financial Services,2021-05-09
CUST00008,RUDENSKIY MAKSIM,603 Pine Ln,1952-03-10,FRANCE,BRAZIL,Financial Services,2022-03-26
CUST00009,POHORIELOV MYROSLAV OLEKSANDROVYCH,884 Pine Ln,1979-08-25,FRANCE,SOMALIA,Retail,2020-01-03
CUST00010,CHUOL JaMeS KOANG,NAN,61,SOUTH SUDAN,SOUTH SUDAN,Retail,2022-11-28
CUST00011,MOHAMMADI MOHAMMAD,649 Oak Ave,1988-07-08,IRAN,PAKISTAN,Technology,2022-04-21
CUST00012,"OOO ""RRK""",386 Pine Ln,1962-09-03,CUBA,CUBA,Technology,2022-05-22
CUST00013,AL-SARRAJ MINING COMPANY LTD,945 Pine Ln,1964-08-05,NORTH KOREA,CHINA,Financial Services,2021-09-23
CUST00014,ALSHEHRI WALEED ABDULLAH M.,407 Main St,1967-03-21,INDIA,FRANCE,Retail,2020-07-27
CUST00015,TURCHENYUK IGOR MYKOLAYOVICH,382 Oak Ave,1996-08-02,BRAZIL,GERMANY,Manufacturing,2020-05-15
CUST00016,DAKOU HASSAN MUHAMMAD,355 Oak Ave,1955-06-08,NORTH KOREA,FRANCE,Retail,2021-10-12
CUST00017,NAPSO YURI AISOVICH,266 Oak Ave,1989-03-12,BRAZIL,LEBANON,Retail,2020-02-15
CUST00018,AL-SEKHNY ADNAN ABDO,101 Pine Ln,1956-04-02,CHINA,VENEZUELA,Healthcare,2022-11-13
CUST00019,AL-CHA'AR MUHAMMAD,243 Oak Ave,1964-10-03,GERMANY,USA,Technology,2020-09-23
CUST00020,KIRILLOVa ANASTASIYA SeRGEYEVNA,NAN,86,RUSSIA,RUSSIA,Manufacturing,2020-08-16
CUST00021,AL-JADDAWI SAQR,773 Pine Ln,1953-11-24,INDIA,UK,Healthcare,2020-12-22
CUST00022,HELWEH ADNAN ABOUD,562 Oak Ave,1989-05-23,CUBA,CHINA,Retail,2020-10-15
CUST00023,AGHA ABDULLAH JAN,629 Oak Ave,1954-06-21,PAKISTAN,CUBA,Technology,2022-09-08
CUST00024,GOLODETS OLGA YURIEVNA,523 Oak Ave,1954-09-27,PAKISTAN,UK,Retail,2020-05-03
CUST00025,PSHONKA VIKTOR PAVLOVYCH,870 Main St,1999-11-02,BRAZIL,LEBANON,Healthcare,2020-03-28
CUST00026,DOROSHENKO OLGA LEONIDOVNA,369 Main St,1993-02-22,RUSSIA,VENEZUELA,Retail,2022-05-16
CUST00027,AL-ASAD WASEEM BADI,205 Main St,1986-10-17,RUSSIA,UK,Manufacturing,2020-12-09
CUST00028,KARLOV GEORGY ALEXANDROVICH,310 Pine Ln,1958-05-21,GERMANY,IRAN,Manufacturing,2022-12-24
